episode,reward,agent
399,-2,CFR
399,2,Q-Learning
400,1,CFR
400,-1,Q-Learning
401,1,CFR
401,-1,Q-Learning
402,-1,CFR
402,1,Q-Learning
403,1,CFR
403,1,Q-Learning
404,-1,CFR
404,1,Q-Learning
405,-1,CFR
405,-1,Q-Learning
406,-1,CFR
406,-1,Q-Learning
407,-1,CFR
407,1,Q-Learning
408,-1,CFR
408,-1,Q-Learning
409,-2,CFR
409,1,Q-Learning
410,-1,CFR
410,-1,Q-Learning
411,-2,CFR
411,-1,Q-Learning
412,-1,CFR
412,-1,Q-Learning
413,-1,CFR
413,-1,Q-Learning
414,2,CFR
414,1,Q-Learning
415,-1,CFR
415,-1,Q-Learning
416,2,CFR
416,1,Q-Learning
417,1,CFR
417,-1,Q-Learning
418,-2,CFR
418,-2,Q-Learning
419,-1,CFR
419,1,Q-Learning
420,1,CFR
420,1,Q-Learning
421,-1,CFR
421,1,Q-Learning
422,-1,CFR
422,-1,Q-Learning
423,1,CFR
423,1,Q-Learning
424,-1,CFR
424,-1,Q-Learning
425,-1,CFR
425,1,Q-Learning
426,1,CFR
426,-1,Q-Learning
427,-1,CFR
427,1,Q-Learning
428,-1,CFR
428,1,Q-Learning
429,1,CFR
429,-1,Q-Learning
430,1,CFR
430,-1,Q-Learning
431,1,CFR
431,-1,Q-Learning
432,-1,CFR
432,-1,Q-Learning
433,2,CFR
433,1,Q-Learning
434,1,CFR
434,2,Q-Learning
435,-1,CFR
435,-1,Q-Learning
436,-1,CFR
436,1,Q-Learning
437,1,CFR
437,1,Q-Learning
438,-1,CFR
438,1,Q-Learning
439,-1,CFR
439,-2,Q-Learning
440,-2,CFR
440,1,Q-Learning
441,-1,CFR
441,-1,Q-Learning
442,1,CFR
442,1,Q-Learning
443,-1,CFR
443,-1,Q-Learning
444,1,CFR
444,1,Q-Learning
445,2,CFR
445,-1,Q-Learning
446,1,CFR
446,1,Q-Learning
447,-1,CFR
447,-1,Q-Learning
448,-2,CFR
448,1,Q-Learning
449,2,CFR
449,-1,Q-Learning
450,-2,CFR
450,1,Q-Learning
451,2,CFR
451,1,Q-Learning
452,-2,CFR
452,-1,Q-Learning
453,1,CFR
453,-1,Q-Learning
454,1,CFR
454,2,Q-Learning
455,1,CFR
455,1,Q-Learning
456,-1,CFR
456,-1,Q-Learning
457,1,CFR
457,-1,Q-Learning
458,-1,CFR
458,-1,Q-Learning
459,-1,CFR
459,-1,Q-Learning
460,-2,CFR
460,1,Q-Learning
461,-1,CFR
461,1,Q-Learning
462,1,CFR
462,1,Q-Learning
463,-2,CFR
463,1,Q-Learning
464,1,CFR
464,-1,Q-Learning
465,1,CFR
465,-1,Q-Learning
466,-1,CFR
466,1,Q-Learning
467,1,CFR
467,-1,Q-Learning
468,-2,CFR
468,1,Q-Learning
469,-1,CFR
469,1,Q-Learning
470,2,CFR
470,-1,Q-Learning
471,1,CFR
471,1,Q-Learning
472,1,CFR
472,-1,Q-Learning
473,-1,CFR
473,-1,Q-Learning
474,-1,CFR
474,1,Q-Learning
475,1,CFR
475,1,Q-Learning
476,1,CFR
476,1,Q-Learning
477,1,CFR
477,-1,Q-Learning
478,-1,CFR
478,1,Q-Learning
479,-1,CFR
479,1,Q-Learning
480,-1,CFR
480,2,Q-Learning
481,1,CFR
481,-1,Q-Learning
482,-1,CFR
482,-1,Q-Learning
483,-1,CFR
483,-1,Q-Learning
484,-1,CFR
484,1,Q-Learning
485,-2,CFR
485,1,Q-Learning
486,-1,CFR
486,-1,Q-Learning
487,-1,CFR
487,1,Q-Learning
488,-1,CFR
488,-1,Q-Learning
489,-2,CFR
489,-1,Q-Learning
490,1,CFR
490,-1,Q-Learning
491,2,CFR
491,1,Q-Learning
492,-1,CFR
492,-1,Q-Learning
493,1,CFR
493,2,Q-Learning
494,1,CFR
494,1,Q-Learning
495,1,CFR
495,-1,Q-Learning
496,1,CFR
496,-1,Q-Learning
497,-1,CFR
497,1,Q-Learning
498,1,CFR
498,2,Q-Learning
499,1,CFR
499,-1,Q-Learning
500,1,CFR
500,1,Q-Learning
501,-1,CFR
501,-2,Q-Learning
502,1,CFR
502,-1,Q-Learning
503,2,CFR
503,-1,Q-Learning
504,1,CFR
504,-1,Q-Learning
505,-2,CFR
505,1,Q-Learning
506,2,CFR
506,1,Q-Learning
507,1,CFR
507,-2,Q-Learning
508,1,CFR
508,1,Q-Learning
509,1,CFR
509,-1,Q-Learning
510,2,CFR
510,1,Q-Learning
511,1,CFR
511,1,Q-Learning
512,1,CFR
512,1,Q-Learning
513,-1,CFR
513,1,Q-Learning
514,1,CFR
514,2,Q-Learning
515,-2,CFR
515,-1,Q-Learning
516,-2,CFR
516,-1,Q-Learning
517,1,CFR
517,1,Q-Learning
518,-1,CFR
518,1,Q-Learning
519,-1,CFR
519,1,Q-Learning
520,-1,CFR
520,-1,Q-Learning
521,-2,CFR
521,1,Q-Learning
522,-1,CFR
522,1,Q-Learning
523,-1,CFR
523,-1,Q-Learning
524,-1,CFR
524,1,Q-Learning
525,1,CFR
525,-1,Q-Learning
526,1,CFR
526,1,Q-Learning
527,-1,CFR
527,-1,Q-Learning
528,1,CFR
528,1,Q-Learning
529,1,CFR
529,-1,Q-Learning
530,1,CFR
530,1,Q-Learning
531,1,CFR
531,-1,Q-Learning
532,1,CFR
532,1,Q-Learning
533,2,CFR
533,1,Q-Learning
534,1,CFR
534,1,Q-Learning
535,-2,CFR
535,-1,Q-Learning
536,2,CFR
536,1,Q-Learning
537,2,CFR
537,2,Q-Learning
538,-2,CFR
538,-1,Q-Learning
539,-2,CFR
539,1,Q-Learning
540,2,CFR
540,-1,Q-Learning
